1.514667	1.514667	83.497
1.525333	1.525333	208.668
1.536000	1.536000	209.509
1.546667	1.546667	208.162
1.557333	1.557333	205.700
1.568000	1.568000	207.881
1.578667	1.578667	208.296
1.589333	1.589333	209.567
1.600000	1.600000	212.135
1.610667	1.610667	209.775
1.621333	1.621333	209.414
1.632000	1.632000	83.198
1.642667	1.642667	83.072
1.653333	1.653333	83.258
1.664000	1.664000	83.059
1.674667	1.674667	83.096
1.685333	1.685333	83.205
1.696000	1.696000	82.980
1.706667	1.706667	83.181
1.717333	1.717333	83.298
1.728000	1.728000	83.377
1.738667	1.738667	83.421
1.749333	1.749333	83.382
1.760000	1.760000	415.366
1.770667	1.770667	208.916
1.781333	1.781333	208.785
1.792000	1.792000	209.007
1.802667	1.802667	208.604
1.813333	1.813333	208.307
1.824000	1.824000	207.833
1.834667	1.834667	208.093
1.845333	1.845333	415.947
1.856000	1.856000	83.324
1.866667	1.866667	83.500
1.877333	1.877333	418.823
1.888000	1.888000	209.313
1.898667	1.898667	209.012
1.909333	1.909333	209.404
1.920000	1.920000	421.250
1.930667	1.930667	166.498
1.941333	1.941333	166.786
1.952000	1.952000	166.971
1.962667	1.962667	166.665
1.973333	1.973333	166.501
1.984000	1.984000	166.821
1.994667	1.994667	166.810
2.005333	2.005333	166.573
2.016000	2.016000	166.650
2.026667	2.026667	166.579
2.037333	2.037333	166.447
2.048000	2.048000	83.185
2.058667	2.058667	83.153
2.069333	2.069333	83.170
2.080000	2.080000	208.986
2.090667	2.090667	208.973
2.101333	2.101333	83.273
2.112000	2.112000	83.428
2.122667	2.122667	83.535
2.133333	2.133333	83.533
2.144000	2.144000	83.493
2.154667	2.154667	83.189
2.165333	2.165333	83.154
2.176000	2.176000	83.427
2.186667	2.186667	83.368
2.197333	2.197333	83.343
2.208000	2.208000	83.357
2.218667	2.218667	83.145
2.229333	2.229333	83.085
2.240000	2.240000	83.116
2.250667	2.250667	83.139
2.261333	2.261333	83.033
2.272000	2.272000	83.019
2.282667	2.282667	166.422
2.293333	2.293333	166.660
2.304000	2.304000	166.867
2.314667	2.314667	167.011
2.325333	2.325333	166.925
2.336000	2.336000	166.481
2.346667	2.346667	166.268
2.357333	2.357333	166.373
2.368000	2.368000	166.359
2.378667	2.378667	166.349
2.389333	2.389333	166.271
2.400000	2.400000	166.440
2.410667	2.410667	166.680
2.421333	2.421333	166.873
2.432000	2.432000	166.772
2.442667	2.442667	166.746
2.453333	2.453333	166.940
2.464000	2.464000	167.055
2.474667	2.474667	166.992
2.485333	2.485333	166.642
2.496000	2.496000	166.487
2.506667	2.506667	166.655
2.517333	2.517333	166.881
2.528000	2.528000	166.831
2.538667	2.538667	166.606
2.549333	2.549333	166.729
2.560000	2.560000	337.270
2.570667	2.570667	336.816
2.581333	2.581333	335.766
2.592000	2.592000	335.790
2.602667	2.602667	83.292
2.613333	2.613333	83.285
2.624000	2.624000	166.644
2.634667	2.634667	166.529
2.645333	2.645333	166.809
2.656000	2.656000	166.799
2.666667	2.666667	166.253
2.677333	2.677333	166.265
2.688000	2.688000	166.389
